name,country,years,n_participations,medals,birth_year,birth_place,school_at_time,later_career,source
Michail Gussarov,USS,1974,1,S,8 March 1958,"Leningrad, USSR",not found,"Mikhail Goussarov -- topologist, studied at Leningrad University under V. Rokhlin (fellow students Eliashberg, Gromov, Turaev, Viro); independently discovered finite-type (Vassiliev-Gusarov) knot invariants; worked at PDMI/LOMI; died 25 June 1999 in Tel Aviv (drowning accident)",[high] https://www.math.utoronto.ca/drorbn/Goussarov/
Nikolaj Tschernov,USS,1974,1,B,10 November 1956,"Kryvyi Rih, Ukrainian SSR","not found (PhD at MSU, 1984)",Likely Nikolai Chernov -- dynamical systems/ergodic theory specialist known for work on chaotic billiards; PhD 1984 MSU under Yakov Sinai; professor at University of Alabama at Birmingham from 1994 until death in 2014,[medium] https://en.wikipedia.org/wiki/Nikolai_Chernov
Sergej Fomin,USS,1974,1,S,16 February 1958,"Leningrad, USSR",Leningrad Physics-Mathematics School No. 45 (studied and later taught there),"Sergey Fomin -- prominent combinatorialist, PhD 1982 (Leningrad State University); with Andrei Zelevinsky introduced cluster algebras; professor at University of Michigan; 2018 AMS Steele Prize; confirmed IMO 1974 USSR participant",[high] https://en.wikipedia.org/wiki/Sergey_Fomin
Aleksandr Koriyushkin,USS,1975,1,S,,,not found,not found,[low] https://blog.tanyakhovanova.com/2018/12/my-1975-imo-team/
Aleksandr Reznikov,USS,1975,1,S,14 January 1960,"Kiev, Ukrainian SSR",not found,"Geometer/topologist (Riemannian & symplectic geometry, geometric group theory); proved the Bloch conjecture on representations of fundamental groups of algebraic varieties; barred from a Kiev University doctorate for antisemitic reasons, worked as a laborer in Tajikistan/Lithuania before an academic career; died 5 September 2003",[high] https://peoplepill.com/people/alexander-reznikov ; https://blog.tanyakhovanova.com/2018/12/my-1975-imo-team/
Boris Yusin,USS,1975,1,G,,,not found,not found,[low] https://blog.tanyakhovanova.com/2018/12/my-1975-imo-team/
Georgij Shmelev,USS,1975,1,B,,,not found,"not found (Khovanova's blog names this teammate ""Yuri Shmelev"" -- possible name discrepancy)",[low] https://blog.tanyakhovanova.com/2018/12/my-1975-imo-team/
Ilya Yunus,USS,1975,1,B,,,not found,not found,[low] https://blog.tanyakhovanova.com/2018/12/my-1975-imo-team/
Sergei Finashin,USS,"1975, 1976",2,"B, G",12 November 1958,"Leningrad, RSFSR",not found,"Confirmed as Sergey Finashin; full professor of topology/real algebraic geometry at Middle East Technical University (Ankara, Turkey); EMS Prize 1992, invited speaker ICM 1994; called ""the highest achiever"" of the 1976 team by Khovanova",[high] https://users.metu.edu.tr/serge/
Tatyana Hovanova,USS,"1975, 1976",2,"S, G",25 January 1959,"Moscow (implied, unconfirmed)",not found,"Confirmed as Tanya (Tatiana) Khovanova; lecturer at MIT, second woman ever to win IMO gold (1976); works in representation theory/quantum groups, runs a math blog, co-founded MIT PRIMES; was married to Joseph Bernstein",[high] https://en.wikipedia.org/wiki/Tanya_Khovanova
Yurij Neretin,USS,1975,1,B,1959 (year only),not found,not found,"Yurii Neretin; infinite-dimensional groups/representation theory; long career at ITEP, later Univ. of Vienna, MSU, now University of Graz",[medium] https://www.mat.univie.ac.at/~neretin/
Aleksandr Goncharov,USS,1976,1,G,7 April 1960,not found (Russian Wikipedia flags birthplace as unlisted),not found,"Confirmed as Alexander Goncharov; professor at Yale, arithmetic algebraic geometry/cluster varieties/polylogarithms; EMS Prize 1992, ICM invited speaker 1994; ""highest achiever"" of the 1976 team","[high] https://ru.wikipedia.org/wiki/Гончаров,_Александр_Борисович"
Boris Solomyak,USS,1976,1,S,,not found,not found,"Professor of Mathematics at Bar-Ilan University; fractal geometry, dynamical systems, Bernoulli convolutions; Fellow of the AMS; son of mathematician Mikhail Solomyak",[medium] https://u.math.biu.ac.il/~solomyb/personal.html
Nikita Necvetaev,USS,1976,1,G,"? (graduated Leningrad Physics-Math boarding school in 1976, implying birth ~1958-59)",not found,Leningrad Physics-Math boarding school (now Academic Gymnasium of SPbSU),"Full professor and head of Higher Geometry dept. at St. Petersburg State University; co-author of textbook ""Elementary Topology"" (with Viro, Ivanov, Kharlamov)",[medium] https://agym.spbu.ru/gimnaziya/vydayushchiesya-vypuskniki.html
Petr Grinevich,USS,1976,1,S,1959 (year only),not found,not found,Confirmed as Petr Grinevich; senior researcher at Landau Institute for Theoretical Physics and professor at MSU (Higher Geometry & Topology); integrable systems and mathematical physics,[high] http://www.itp.ac.ru/ru/persons/grinevich-piotr-georgievich/
Sergej Mironov,USS,1976,1,S,,,not found,"Per Khovanova's blog, ""became seriously ill as an undergraduate and stopped doing mathematics""",[low] https://blog.tanyakhovanova.com/2016/02/where-is-my-team-now/
Yurij Burov,USS,1976,1,B,,,not found,"Per Khovanova's blog, wrote two math papers, left mathematics after graduate school, and died several years ago from multiple sclerosis",[low] https://blog.tanyakhovanova.com/2016/02/where-is-my-team-now/
Aleksandr Kodrian,USS,1977,1,(no award),,,not found,not found,[none] no matching source found
Amiran Ambroladze,USS,1977,1,S,,"Georgia (likely, unconfirmed exact city)",not found,"Later a mathematician at Lund University, Sweden, working on ergodic theory/random dynamical systems and statistical learning theory (PAC-Bayes bounds); more recently Dean, Dept. of Computer Science, Free University of Tbilisi, Georgia",[high] https://lup.lub.lu.se/search/person/math-aam
Andrei Auzins,USS,1977,1,B,,,not found,not found,[none] no matching source found
Andrei Churbanov,USS,1977,1,B,,,not found,not found,[none] no matching source found
Dmitrii Flaas,USS,1977,1,B,7 or 8 September 1962,"Perm, USSR","ФМШ (physics-math boarding school) at Novosibirsk State University, enrolled 1975 at age 13","This is Dmitry Germanovich von der Flaass (Фон-дер-Флаасс). Won IMO bronze in Belgrade at just 14-15. Became a mathematician, senior researcher at the Sobolev Institute of Mathematics SB RAS in Novosibirsk, specialist in combinatorics; long-time olympiad problem composer and coach for USSR/Russian teams (also coached UK, Kazakhstan, Yakutia teams). Died 10 June 2010 of esophageal cancer","[high] https://ru.wikipedia.org/wiki/Фон-дер-Флаасс,_Дмитрий_Германович"
Grigorii Rybnikov,USS,1977,1,G,,not found,not found,"Likely Grigory Rybnikov, associate professor at HSE / IITP RAS and Independent University of Moscow, works on matroid theory, oriented matroids, hyperplane arrangements",[medium] https://www.mathnet.ru/rus/person24686
Viktor Galperin,USS,1977,1,S,~1960-61 (implied),not found,"School No. 57, Moscow",Distinct person from olympiad coach Grigory Galperin (Eastern Illinois University). Graduated School No. 57 Moscow (class of 1978); became a documented case in studies of antisemitic discrimination in MSU mekhmat admissions. No later career found,[medium] https://roman-kr.livejournal.com/408021.html
Yaroslav Vinnishin,USS,1977,1,B,,,not found,not found,[none] no matching source found
Aleksandr Degtiarev,USS,1979,1,B,,,not found,"Confirmed: Alexander Degtyarev, mathematician in real algebraic geometry/topology of plane algebraic curves, affiliated with Steklov Mathematical Institute (POMI) and Bilkent University, Ankara, Turkey",[high (identity)] https://www.mathnet.ru/rus/person9150
Aleksandr Razborov,USS,1979,1,G,16 February 1963,"Belovo, Kemerovo Oblast, RSFSR, USSR",Moscow Physics-Mathematical School No. 2 (graduated 1980),"Confirmed: Alexander Razborov, world-famous computational complexity theorist. MSU mekhmat 1987, PhD 1987, DSc 1991. Nevanlinna Prize (1990); Godel Prize (2007, with Steven Rudich); corresponding member of RAS (2000); Steklov Institute and IAS Princeton; since 2008 professor at University of Chicago",[high] https://en.wikipedia.org/wiki/Alexander_Razborov
Andrei Ljahovec,USS,1979,1,S,,,not found,not found,[none] no matching source found
Igor Lisenok,USS,1979,1,S,16 August 1963,,not found,"Confirmed: Igor Lysenok, winner of the All-Union Mathematical Olympiad 1978 and 1979. Graduated MSU mekhmat, PhD 1989 (advisor Sergei Adian), DSc 1997 (Burnside problem). Since 1985 at Steklov Mathematical Institute; also professor at Stevens Institute of Technology. Laureate of Moscow Mathematical Society Prize (1990)","[high] https://ru.wikipedia.org/wiki/Лысёнок,_Игорь_Геронтьевич"
Ilija Zaharevič,USS,1979,1,G,,,not found,"Likely Ilya Zakharevich: PhD MSU; later Assistant Professor at Ohio State University working on algebraic/geometric aspects of integrable systems; also well known in the Perl community (operator overloading, regex engine work, OS/2 Perl port). Link to 1979 IMO roster not independently confirmed",[medium] http://math.berkeley.edu/~serganov/ilyaz.org/interview/interview-local-copy.html
Mihail Rudkovski,USS,1979,1,S,,,not found,"Possible match: M.A. Rudkovskii, author of ""Twisted product of Lie groups,"" Siberian Mathematical Journal 1997 -- unconfirmed",[low] https://www.mathnet.ru/rus/person28553
Murman Amdroladze,USS,1979,1,(no award),,,not found,"Possible match: M.U. Ambroladze, author of papers on growth rate of orthogonal polynomials (1989, 1991) -- overlaps with Amiran Ambroladze's field, suggesting possible family connection, not confirmed",[low] https://www.mathnet.ru/rus/person19241
Sergei Hlebutin,USS,1979,1,S,,,not found,not found,[none] no matching source found
Airat Chanyshev,USS,1981,1,S,,,,not found,[none] no matching source found
Andrei Aralkin,USS,1981,1,B,,,"School No. 11, Novokuznetsk (Kemerovo Oblast) -- per a teacher's memoir naming him among standout students",not found beyond schooling,[medium] https://ipk.kuz-edu.ru/index.php/struktura/8-kategoriya/785-khomyakov-dmitrij-nikiforovich
Mikhail Grinchuk,USS,1981,1,G,,,,Possibly discrete-mathematics author M.I. Grinchuk (complexity of realizing boolean-matrix sequences); identity not confirmed,[low] https://ru.wikipedia.org/wiki/Суперлогарифм
Valery Alexeev,USS,1981,1,G,1964,,,"Algebraic geometer; PhD from Lomonosov Moscow State University (1990); David C. Barrow Professor at University of Georgia, works on moduli of algebraic varieties/degenerations",[medium] https://en.wikipedia.org/wiki/Valery_Alexeev_(mathematician)
Yuri Chekanov,USS,1981,1,G,,,,"Symplectic/contact topologist, former student of V.I. Arnold; co-creator of the Chekanov-Eliashberg differential graded algebra for Legendrian knots; Steklov Mathematical Institute, IAS scholar (2022)",[medium] https://www.ias.edu/scholars/yuri-vitalievich-chekanov
Yuri Ekishev,USS,1981,1,S,,,,"not found -- a namesake writer/playwright from Syktyvkar claims an unrelated 1976 olympiad win, timeline doesn't match, unverified",[low] https://komiinform.ru/news/144386
Alexander Szpivak,USS,1982,1,S,23 November 1966,"Sterlitamak, Bashkir ASSR",,"Likely Alexander Vasilyevich Spivak: math teacher/textbook author, long-time organizer of ""Malyi Mekhmat"" at MSU, taught at Moscow schools 1018/1101/1543, ""Soros Teacher""; his wiki page states his 1982 IMO silver came the same year Perelman won gold","[high] https://ru.wikipedia.org/wiki/Спивак,_Александр_Васильевич"
Grigorij Perelman,USS,1982,1,G,13 June 1966,"Leningrad, USSR","Physics-Mathematics School No. 239, Leningrad",World-famous mathematician; proved the Poincare and Thurston geometrization conjectures via Ricci flow (2002-2003); declined the 2006 Fields Medal and the 2010 Clay Millennium Prize,"[high] https://ru.wikipedia.org/wiki/Перельман,_Григорий_Яковлевич"
Konstantin Matveev,USS,1982,1,G,~1989-1990 (not precisely confirmed),Omsk,Omsk Lyceum No. 66,"Mathematician; Assistant Professor, Rutgers University Dept. of Mathematics; Lie/representation theory, asymptotic representation theory, algebraic combinatorics, probability (q-RSK correspondences)",[high] https://www.imo-official.org/results/team/year/2007/country/RUS/
Vladimir Titenko,USS,1982,1,B,,,,not found,[none] no matching source found
Alexandre Semionov,USS,1983,1,B,,,,not found (too common a name),[none] no matching source found
Igor Joukov,USS,1983,1,S,,,,"not found -- a number theorist Igor Zhukov (local fields, ramification theory) at SPbSU/Steklov POMI exists but identity unconfirmed",[low] no matching source found
Konstantine Kokase,USS,1983,1,B,,,,"not found (likely Georgian competitor, transliteration uncertain)",[none] no matching source found
Léonide Parnovski,USS,1983,1,G,,,,"Spectral theory/PDE researcher; Professor of Pure Mathematics at University College London, periodic/almost-periodic spectral problems and Schrodinger operators; prior ties to MSU and University of Sussex",[medium] https://profiles.ucl.ac.uk/2506-leonid-parnovski
Vladimir Bouritchenko,USS,1983,1,S,,,,not found,[none] no matching source found
Yanis Britals,USS,1983,1,S,,,,"not found (likely Latvian; surname possibly ""Britāls"")",[none] no matching source found
Andrey Astrelin,USS,1984,1,G,winter 1968/1969,"Akademgorodok, Novosibirsk","School No. 119, Akademgorodok","PhD (kandidat nauk) MSU Mech-Math 1992, computational mathematics; worked on 3D-scanner software (Surfaser) and taught programming at MSU; died 13 Jan 2017 of glioblastoma",[high] http://superliminal.com/andrey/biografiya.html
Evgeniy Abakumov,USS,1984,1,G,"? (entered boarding school 1981, implying birth ~1966-67)",not found,"Physics-math boarding school at Leningrad State University, entered 1981 (now Academic Gymnasium named after D.K. Faddeev, SPbSU)","Graduated SPbGU Math-Mech 1991; PhD Universite Bordeaux I (1994); worked at Steklov Institute (POMI) 1991-98; now professor, Universite Gustave Eiffel (Paris-Est), France; functional/complex analysis",[high] https://agym.spbu.ru/2-category/828-abakumov-evgenij-valerevich.html
Fedor Nazarov,USS,1984,1,G,1967,"not found (likely Leningrad, unconfirmed)",not found,"PhD St. Petersburg University 1993 (advisor V.P. Khavin); professor at Michigan State (1995-2007), Wisconsin-Madison (2007-2011), Kent State University (since 2011); Salem Prize 1999; invited ICM speaker 2010",[high] https://en.wikipedia.org/wiki/Fedor_Nazarov
Konstantin Ignatiev,USS,1984,1,G,,not found,not found,not found,[none] no matching source found
Leonid Oridoroga,USS,1984,1,G,,not found,not found,"Kandidat fiz.-mat. nauk; associate professor, Dept. of Mathematical Analysis, Donetsk State/National University; also Institute of Applied Mathematics and Mechanics; functional analysis, Riesz-basis properties of Dirac-type operators",[medium] https://donnu.ru/math/made/oridoroga-leonid-leonidovich
Sergei Strukov,USS,1984,1,S,,not found,not found,not found,[none] no matching source found
Anatoly Malevanets,USS,1985,1,S,,not found,not found,not found,[none] no matching source found
Dmitry Bibin,USS,1985,1,B,,not found,not found,not found,[none] no matching source found
Lev Ivanov,USS,1985,1,B,,not found,not found,not found (name too common),[none] no matching source found
Mati Pentous,USS,1985,1,(no award),16 July 1967,"Tallinn, Estonian SSR",not found,"Graduated MSU Mech-Math 1992; proved decidability of Chomsky's conjecture for Lambek categorial grammars (1993); doctor of sciences 2001; professor, Dept. of Mathematical Logic and Theory of Algorithms, MSU (since 2004); mathematical logic and linguistics","[high] https://ru.wikipedia.org/wiki/Пентус,_Мати_Рейнович"
Oleg Bondarenko,USS,1985,1,S,,not found,not found,not found,[none] no matching source found
Olga Leonteva,USS,1985,1,G,,not found,not found,not found (possible name change after marriage),[none] no matching source found
Anton Lunin,USS,1986,1,S,,not found,not found,not found,[none] no matching source found
Gennadij Gluščenko,USS,1986,1,S,,not found,not found,not found,[none] no matching source found
Sigitas Kiaras,USS,1986,1,S,,not found,not found,not found (only IMO profile page found),[none] https://www.imo-official.org/participant_r.aspx?id=11011
Stanislav Smirnov,USS,"1986, 1987",2,"G, G",3 September 1970,"Leningrad, USSR","School No. 239, Leningrad",Fields Medalist 2010 for conformal invariance of percolation and the 2D Ising model; professor at University of Geneva; founded the Chebyshev Laboratory at St. Petersburg State University,"[high] https://ru.wikipedia.org/wiki/Смирнов,_Станислав_Константинович"
Viktor Porošin,USS,1986,1,S,,not found,not found,not found,[none] no matching source found
Vladimir Roganov,USS,1986,1,G,,not found,not found,"Possible match: Vladimir Roganov, researcher in parallel/distributed computing (T-System/OpenTS, MPI+T++); identity not conclusively confirmed",[low] https://istina.msu.ru/profile/var/
Igor Puhov,USS,1987,1,S,,,,not found,[none] no matching source found
Ilya Binder,USS,1987,1,S,,,,"Complex analysis/potential theory researcher; professor at University of Toronto (previously Harvard, Yale, UIUC); PhD Caltech 1997 under Nikolai Makarov; BSc/MSc St. Petersburg State University 1992; interim president of the Canadian Mathematical Society",[high] https://www.math.toronto.edu/ilia/cv.htm
Konstantin Sturkas,USS,1987,1,S,,,,not found,[none] no matching source found
Lev Borisov,USS,1987,1,G,,,,"Algebraic geometer; Distinguished Professor of Mathematics at Rutgers University, toric varieties and mirror symmetry; PhD 1996 University of Michigan under Igor Dolgachev; plausible but unconfirmed match",[medium] https://sites.math.rutgers.edu/~borisov/
Sergei Ivanov,USS,"1987, 1988, 1989",3,"G, G, G",31 May 1972,"Leningrad, USSR",not found,"Metric geometry researcher; chief researcher at St. Petersburg Dept. of Steklov Institute (PDMI RAS); dean of SPbU Faculty of Mathematics and Computer Science 2020-2024; corresponding member of RAS; 2014 Steele Prize for ""A Course in Metric Geometry""",[high] https://en.wikipedia.org/wiki/Sergei_Ivanov_(mathematician)
Dimitri Ivanov,USS,"1988, 1989",2,"G, G",,,,"not found (common name, no confirmed identity)",[none] no matching source found
Dimitri Tuliakov,USS,1988,1,G,,,,"not found (possible namesake D.N. Tulyakov works on orthogonal polynomials/random matrices at Keldysh Institute, unconfirmed)",[none] https://www.mathnet.ru/rus/person8743
Nicolai Filonov,USS,1988,1,G,,,,Spectral theory/mathematical physics researcher; associate professor at SPbSU (Physics Faculty) and leading researcher at PDMI RAS; graduated SPbU physics faculty 1995,[medium] https://www.pdmi.ras.ru/pdmi/node/333
Sergei Berlov,USS,1988,1,S,? (birthday April 25),,"Physical-Mathematical Lyceum No. 239, Leningrad (graduated 1988)","Well-known olympiad coach/problem-setter; teacher/candidate of sciences at Lyceum 239, St. Petersburg; jury member of All-Russian School Olympiad; co-author of ""Петербургские математические олимпиады""",[high] https://239.ru/teachers/tproduct/253179433-898410606941-berlov-sergei-lvovich
Yuri Hohlov,USS,1988,1,S,,,,"not found -- a well-documented ""Yuri Khokhlov"" (b.1952, Gorky) MSU/RUDN probability professor is too old to be this teenage competitor, likely not the same person",[none] no matching source found
Arkady Skopenkov,USS,1989,1,S,15 October 1972,,"Kolmogorov boarding school (SUNC MSU), Moscow, graduated 1989",Topologist; professor at MIPT and Independent University of Moscow; embeddings of manifolds in Euclidean spaces; well-known olympiad-book author and coach,[high] https://www.mccme.ru/~skopenko/
Evgenia Malinnikova,USS,"1989, 1990, 1991",3,"G, G, G",23 April 1974,"Leningrad, USSR",not found,"Harmonic analysis/elliptic PDE researcher; professor at Stanford University (previously NTNU, Norway); 2017 Clay Research Award with Aleksandr Logunov; highest-scoring female IMO contestant in history, IMO Hall of Fame","[high] https://ru.wikipedia.org/wiki/Малинникова,_Евгения_Владимировна"
Maria Roginskaya,USS,1989,1,S,12 March 1972,,,"Mathematician working on real/functional analysis (singular measures, Fourier series, fractal sets); affiliated with Chalmers University of Technology and University of Gothenburg, Sweden",[high] https://www.mathnet.ru/php/person.phtml?option_lang=eng&personid=17969
Vladimir Ragulin,USS,1989,1,B,,,,not found,[none] no matching source found
Alexander Perlin,USS,"1990, 1991",2,"G, G",,not found,not found,not found,[none] no matching source found
Alexandr Stoyauovski,USS,1990,1,G,,not found,not found,"Likely Alexander V. Stoyanovsky, mathematician at Russian State University for the Humanities (Moscow), mathematical physics/quantization (Poisson algebras, geometric Langlands)",[medium] https://arxiv.org/abs/1110.0002
Georgi Aleramov,USS,1990,1,S,,not found,not found,not found,[none] no matching source found
Ivan Solovyov,USS,1990,1,S,,not found,not found,not found (name too common),[none] no matching source found
Vladimir Baranovski,USS,1990,1,B,,not found (Russian citizen per CV),not found,"Vladimir Baranovsky -- 1995 Honors Diploma, MSU; PhD 2000, University of Chicago; Professor of Mathematics at UC Irvine (algebraic geometry & representation theory); Sloan Fellow 2006",[medium-high] https://www.math.uci.edu/~vbaranov/math/cv_new.pdf
Andris Ambainis,USS,1991,1,G,18 January 1975,"Daugavpils, Latvia",not found,"World-leading quantum computing researcher; professor at University of Latvia; quantum walks and quantum query complexity lower bounds; MacArthur/Sloan Fellow, ICM 2018 invited speaker",[high] https://en.wikipedia.org/wiki/Andris_Ambainis
Mikhail Temkin,USS,1991,1,G,5 November 1974,not found (studied in Moscow),"Moscow School No. 57 (specialized math school), 1988/89-1990/91","Michael Temkin -- emigrated to Israel 1992, PhD Weizmann Institute; Full Professor and Chair, Einstein Institute of Mathematics, Hebrew University of Jerusalem; algebraic/non-archimedean geometry; Levitzki Prize 2011, ERC Consolidator Grant",[high] https://math.huji.ac.il/~temkin/lists/cv.pdf
Vladimir Nekrashevich,USS,1991,1,S,,not found (possible Ukraine connection),not found,"Likely Volodymyr Nekrashevych -- professor at Texas A&M University, group theory/dynamical systems (self-similar groups, automata groups); earliest publications 1999 in Ukrainian journals",[medium] https://people.tamu.edu/~nekrash/
Vsevolod Zhuhovitskij,USS,1991,1,S,,not found,not found,not found,[none] no matching source found
Aleksey Chilikov,RUS,1992,1,G,not found,not found,not found,not found,[none] no reliable source located
Dmitry Karpov,RUS,1992,1,B,1975-03-02,Leningrad,"FML 239 (Physics-Math Lyceum No. 239, Leningrad/St. Petersburg), graduated 1992","Senior researcher, Lab. of Mathematical Logic, PDMI RAS (St. Petersburg branch of Steklov Institute); graph theory researcher; Doctor of Sciences 2015; teaches at SPbGU math-mech faculty",[high] https://logic.pdmi.ras.ru/~dvk/
Michail Nikulin,RUS,1992,1,B,not found,not found,not found,not found,[none] no reliable source located
Pavel Kozhevnikov,RUS,1992,1,G,1976-05-25,Kaluga,not specified (entered MSU mechmat 1992; no specific physics-math school confirmed),"Assoc. professor MIPT (Higher Math dept.), IMO team coach/jury since 1993, deputy editor of ""Kvant"" journal, olympiad problem-book co-author, 2010 RF Government Prize in Education","[high] https://ru.wikipedia.org/wiki/Кожевников,_Павел_Александрович"
Ruslan Ismailov,RUS,1992,1,S,not found,not found,not found,not found,[none] no reliable source located
Yulia Pevtsova,RUS,1992,1,S,not found,not found,not found,not found,[none] no reliable source located
Andrei Biryuk,RUS,1993,1,S,1976-07-30,Krasnodar,not confirmed (graduated MSU mechmat 1998),"PhD Heriot-Watt University 2001 (PDE / quasilinear parabolic equations); Associate Professor, Kuban State University, Krasnodar; PDE and parallel computing",[medium-high] http://old.mccme.ru/dfc/2010/Program2/Biryuk-summary.pdf
Anton Pozdnyakov,RUS,1993,1,G,not found,not found,not found,not found,[none] no reliable source located
Dmitry Panov,RUS,1993,1,B,not found,not found,"not confirmed (graduated MSU 1998, implying Moscow schooling)","PhD Ecole Polytechnique 2005 (advisor Maxim Kontsevich); postdoc Imperial College London; Professor of Geometry, King's College London since 2020 (symplectic/complex/hyperbolic geometry)",[medium] https://www.kcl.ac.uk/people/dmitri-panov
Elizaveta Rosenblum,RUS,1993,1,G,not found,not found,not found,not found,[none] no reliable source located
Mikhail Bondarko,RUS,"1993, 1994",2,"G, G",1977-08-21,not found,"Physics-Math Lyceum No. 239, St. Petersburg, graduated 1994","Professor, Dept. of Higher Algebra & Number Theory, St. Petersburg State University; Professor of RAS (2016); motives/weight structures/triangulated categories; Pierre Deligne Prize 2006","[high] https://ru.wikipedia.org/wiki/Бондарко,_Михаил_Владимирович"
Roman Fedorov,RUS,1993,1,G,c. 1975 (inferred),not found (education started in Moscow),"Moscow School No. 57 (taught analysis there 1992-1999, close ties as student/young instructor)","PhD Univ. of Chicago 2005; Associate Professor, University of Pittsburgh (algebraic geometry/representation theory, Grothendieck-Serre conjecture); olympiad organizing (Moscow Math Olympiad committee, Manhattan Math Olympiad)",[high] https://sites.pitt.edu/~fedorov/cv.pdf
Alexandre Borissov,RUS,1994,1,B,not found,not found,not found,"Alexander Borisov: MS MSU; PhD Penn State; Assoc. Professor Binghamton University since 2014; algebraic geometry & number theory (birational/toric geometry, Arakelov geometry)",[medium] Binghamton University faculty profile
Anna Dyubina,RUS,1994,1,S,1977-02-14,not found,not found (entered SPbSU 1994),"Now publishes as Anna Erschler: PhD SPbSU 2001 (advisor Anatoly Vershik); postdocs Tel Aviv, Steklov Institute, IHES; CNRS researcher, Directrice de recherche at ENS Paris since 2014; geometric group theory/random walks on groups; Mobius Prize 2001, Elie Cartan Prize 2015, CNRS Silver Medal 2020",[medium] https://en.wikipedia.org/wiki/Anna_Erschler
Natalia Dobrinskaia,RUS,1994,1,S,not found,not found,not found,"Educated at MSU; PhD advisor Viktor Buchstaber; algebraic/toric topology (quasitoric manifolds classification, loop space homology)",[medium] Mathematics Genealogy Project via Wikidata
Roman Karasev,RUS,1994,1,G,not found,not found,"School No. 5, Dolgoprudny (physics-math school tied to MIPT)","Lecturer/Professor, MIPT; PhD 2003, Doctor of Sciences 2010 (Steklov Institute); combinatorial/convex geometry (Borsuk-Ulam-type theorems), 40+ papers",[high] http://www.rkarasev.ru/about/
Serguei Norine,RUS,"1994, 1995, 1996",3,"G, G, G",not found,not found,not found,"Sergey Norin: PhD Georgia Institute of Technology 2005 (advisor Robin Thomas); quant analyst D.E. Shaw & Co.; Professor, McGill University (graph theory, extremal/structural combinatorics)",[medium] https://www.math.mcgill.ca/snorin/
Dmitri Tchelkak,RUS,1995,1,G,January 1979,Leningrad,not confirmed,"Mathematical physicist (discrete complex analysis, Ising model); PhD 2003 Steklov Institute; SPbGU, Chebyshev Laboratory, ETH Zurich, Geneva; senior researcher PDMI RAS; Salem Prize 2014; invited speaker ICM 2018",[high] https://en.wikipedia.org/wiki/Dmitry_Chelkak
Dmitri Zaporojets,RUS,1995,1,G,1979-08-10,not found,not found,"Probability theorist Dmitry Zaporozhets: graduated SPbGU 2001; doctoral dissertation 2017; Professor of RAS 2018; deputy director for science, PDMI RAS; corresponding member of RAS 2025","[high] https://ru.wikipedia.org/wiki/Запорожец,_Дмитрий_Николаевич"
Ilia Katsev,RUS,1995,1,S,not found,not found,not found,not found,[none] no reliable source found
Mikhail Ostrovski,RUS,1995,1,G,1979-06-06,Russia (likely Moscow),Matklass of Moscow School No. 57,"Economist Michael (Mikhail) Ostrovsky: BA Stanford 1999, PhD Harvard 2005; Stanford GSB professor since 2005, Fred H. Merrill Professor of Economics; market-design/auction-theory advisor to Yahoo, LinkedIn, Google, Pinterest; founded ad-tech company Topsort (2021)","[high] https://ru.wikipedia.org/wiki/Островский,_Михаил_Григорьевич"
Veronika Essaoulova,RUS,"1995, 1996",2,"S, S",not found,not found,not found,not found,[none] no reliable source found
Elena Roudo,RUS,1996,1,S,not found,not found,not found,not found,[none] no reliable source found
Iouri Makarytchev,RUS,1996,1,B,not found,not found,not found,not found,[none] no reliable source found
Konstantin Salikhov,RUS,1996,1,S,not found,not found,not found,not found,[none] no reliable source found
Nikolai Dourov,RUS,"1996, 1997, 1998",3,"G, G, G",1980-11-21,"Leningrad, Soviet Union",not confirmed,"Co-founder of VKontakte (2006, lead developer) and Telegram (2013-present) with brother Pavel Durov; designed MTProto encryption protocol; credited as architect of TON blockchain; PhD SPbGU 2005 and University of Bonn 2007 (advisor Gerd Faltings); senior researcher, PDMI RAS; 4 IOI medals and 2000/2001 ACM ICPC World Champion with SPbGU team","[high] https://ru.wikipedia.org/wiki/Дуров,_Николай_Валерьевич"
Evgueni Tcherepanov,RUS,"1997, 1998",2,"G, S",not found,not found,not found,not found,[none] no reliable source found
Irina Anno,RUS,"1997, 1998",2,"B, S",not found,not found,not found,not found,[none] no reliable source found
Mikhail Leptchinski,RUS,1997,1,G,not found,not found,not found,not found,[none] no reliable source found
Mikhail Mitrofanov,RUS,1997,1,S,not found,not found,not found,not found,[none] no reliable source found
Serguei Ouzdine,RUS,1997,1,S,not found,not found,not found,not found,[none] no reliable source found
Anton Rozenberg,RUS,1998,1,S,not found,not found,not found,not found,[none] no matching source found
Danil Chapovalov,RUS,1998,1,B,not found,not found,not found,"Co-author (with Maxim Chapovalov, Alexei Lebedev, Dimitry Leites) of ""The classification of almost affine (hyperbolic) Lie superalgebras,"" J. Nonlinear Math. Phys. 17 (2010) -- period in Lie superalgebra research circa 2009; no other publications found",[low] https://arxiv.org/abs/0906.1860
Vladimir Dremov,RUS,"1998, 1999, 2000",3,"G, G, G",not found,not found,not found,"Possible match: sole-author paper ""Calculation of two Belyi pairs"" (V.A. Dremov, 2008, arXiv:0811.3819), dessins-d'enfants catalogue project -- identity unconfirmed",[low] https://arxiv.org/abs/0811.3819
